No. Arterialsegment L(cm) r0(cm) r1(cm) c0(m/s) RT(mmHgs/ml) R0(mmHgs/ml)
1 Ascendingaorta 4.0 1.525 1.420 5.11 – –
2 AorticarchI 3.0 1.420 1.342 5.11 – –
3 Brachiocephalic 3.5 0.650 0.620 5.91 – –
4 R.subclavianI 3.5 0.425 0.407 5.29 – –
5 R.carotid 17.7 0.400 0.370 5.92 – –
6 R.vertebral 13.5 0.200 0.200 9.64 45.92 6.10
7 R.subclavianII 39.8 0.407 0.230 5.38 – –
8 R.radial 22.0 0.175 0.140 10.12 40.41 14.21
9 R.ulnarI 6.7 0.215 0.215 8.78 – –
10 AorticarchII 4.0 1.342 1.246 5.11 – –
11 L.carotid 20.8 0.400 0.370 5.92 – –
12 ThoracicaortaI 5.5 1.246 1.124 5.11 – –
13 ThoracicaortaII 10.5 1.124 0.924 5.11 – –
14 Intercoastals 7.3 0.300 0.300 7.13 10.64 2.00
15 L.subclavianI 3.5 0.425 0.407 5.29 – –
16 L.vertebral 13.5 0.200 0.200 9.64 45.92 6.10
17 L.subclavianII 39.8 0.407 0.230 5.38 – –
18 L.ulnarI 6.7 0.215 0.215 8.78 – –
19 L.radial 22.0 0.175 0.140 10.12 40.41 14.21
20 CeliacI 2.0 0.350 0.300 5.86 – –
21 CeliacII 2.0 0.300 0.250 6.54 – –
22 Hepatic 6.5 0.275 0.250 6.86 27.78 2.80
23 Splenic 5.8 0.175 0.150 7.22 41.40 8.59
24 Gastric 5.5 0.200 0.200 6.40 17.76 4.05
25 AbdomainalaortaI 5.3 0.924 0.838 5.11
26 Sup.mensenteric 5.0 0.400 0.350 5.77 7.12 1.20
27 AbdominalaortaII 1.5 0.838 0.814 5.11
28 R.renal 3.0 0.275 0.275 6.05 8.65 2.02
29 AbdominalaortaIII 1.5 0.814 0.792 5.11
30 L.renal 3.0 0.275 0.275 6.05 8.65 2.02
31 AbdominalaortaIV 12.5 0.792 0.627 5.11
32 Inf.mesenteric 3.8 0.200 0.175 6.25 52.65 5.37
33 AbdominalaortaV 8.0 0.627 0.550 5.11 – –
34 R.com.iliac 5.8 0.400 0.370 5.50 – –
35 R.ext.iliac 14.5 0.370 0.314 7.05 – –
36 R.int.iliac 4.5 0.200 0.200 10.10 42.51 6.40
37 R.deepfemoral 11.3 0.200 0.200 7.88 25.55 4.99
38 R.femoral 44.3 0.314 0.275 8.10 – –
39 R.ext.carotid 17.7 0.200 0.200 8.26 38.84 5.23
40 L.int.carotid 17.6 0.300 0.275 7.51 38.84 2.53
41 R.post.tibial 34.4 0.175 0.175 11.98 56.73 9.90
42 R.ant.tibial 32.2 0.250 0.250 9.78 25.55 3.96
43 R.interosseous 7.0 0.100 0.100 15.57 645.15 39.43
44 R.ulnarII 17.0 0.203 0.180 12.53 40.41 10.12
45 L.ulnarII 17.0 0.203 0.180 12.53 40.41 10.12
46 L.interosseous 7.0 0.100 0.100 15.57 645.15 39.43
47 R.int.carotid 17.6 0.300 0.275 7.51 38.84 2.53
48 L.ext.carotid 17.7 0.200 0.200 8.26 38.84 5.23
49 L.com.iliac 5.8 0.400 0.370 5.50 – –
50 L.ext.iliac 14.5 0.370 0.314 7.05 – –
51 L.int.iliac 4.5 0.200 0.200 10.10 42.51 6.40
52 L.deepfemoral 11.3 0.200 0.200 7.88 25.55 4.99
53 L.femoral 44.3 0.314 0.275 8.10 – –
54 L.post.tibial 32.2 0.175 0.175 11.98 56.73 9.90
55 L.ant.tibial 34.4 0.250 0.250 9.78 25.55 3.96
